time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.2,0,0,0,0,0,1,0,0,0,0,0,0
0,0.3,0,0,0,0,0,1,0,0,0,0,0,0
0,0.4,0,0,0,0,0,1,0,0,0,0,0,0
0,0.5,0,0,0,0,0,1,0,0,0,0,0,0
0,0.6,0,0,0,0,0,1,0,0,0,0,0,0
0,0.7,0,0,0,0,0,1,0,0,0,0,0,0
0,0.8,0,0,0,0,0,1,0,0,0,0,0,0
0,0.9,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1.1,0,0,0,0,0,1,0,0,0,0,0,0
0,1.2,0,0,0,0,0,1,0,0,0,0,0,0
0,1.3,0,0,0,0,0,1,0,0,0,0,0,0
0,1.4,0,0,0,0,0,1,0,0,0,0,0,0
0,1.5,0.029950025,0,0,0,0,1,0,0,0,0,0,0
0,1.6,0.059600799,0,0,0,0,1,0,0,0,0,0,0
0,1.7,0.088656062,0,0,0,0,1,0,0,0,0,0,0
0,1.8,0.116825503,0,0,0,0,1,0,0,0,0,0,0
0,1.9,0.143827662,0,0,0,0,0.9,0,0,0,0,0,0
0,2,0.169392742,0,0,0,0,0.8,0,0,0,0,0,0
0,2.1,0.193265306,0,0,0,0,0.7,0,0,0,0,0,0
0,2.2,0.215206827,0,0,0,0,0.6,0,0,0,0,0,0
0,2.3,0.234998073,0,0,0,0,0.5,0,0,0,0,0,0
0,2.4,0.252441295,0,0,0,0,0.4,0,0,0,0,0,0
0,2.5,0.267362208,0,0,0,0,0.3,0,0,0,0,0,0
0,2.6,0.279611726,0,0,0,0,0.2,0,0,0,0,0,0
0,2.7,0.289067456,0,0,0,0,0.1,0,0,0,0,0,0
0,2.8,0.295634919,0,0,0,0,1.39E-16,0,0,0,0,0,0
0,2.9,0.299248496,0,0,0,0,-0.1,0,0,0,0,0,0
0,3,0.299872081,0,0,0,0,-0.2,0,0,0,0,0,0
0,3.1,0.297499443,0,0,0,0,-0.3,0,0,0,0,0,0
0,3.2,0.292154289,0,0,0,0,-0.4,0,0,0,0,0,0
0,3.3,0.283890026,0,0,0,0,-0.5,0,0,0,0,0,0
0,3.4,0.272789228,0,0,0,0,-0.6,0,0,0,0,0,0
0,3.5,0.25896281,0,0,0,0,-0.7,0,0,0,0,0,0
0,3.6,0.242548921,0,0,0,0,-0.8,0,0,0,0,0,0
0,3.7,0.223711564,0,0,0,0,-0.9,0,0,0,0,0,0
0,3.8,0.202638954,0,0,0,0,-1,0,0,0,0,0,0
0,3.9,0.179541643,0,0,0,0,-1.1,0,0,0,0,0,0
0,4,0.154650412,0,0,0,0,-1.2,0,0,0,0,0,0
0,4.1,0.128213964,0,0,0,0,-1.3,0,0,0,0,0,0
0,4.2,0.100496445,0,0,0,0,-1.4,0,0,0,0,0,0
0,4.3,0.071774799,0,0,0,0,-1.5,0,0,0,0,0,0
0,4.4,0.042336002,0,0,0,0,-1.6,0,0,0,0,0,0
0,4.5,0.012474199,0,0,0,0,-1.7,0,0,0,0,0,0
0,4.6,0,0,0,0,0,-1.8,0,0,0,0,0,0
0,4.7,0,0,0,0,0,-1.9,0,0,0,0,0,0
0,4.8,0,0,0,0,0,-2,0,0,0,0,0,0
0,4.9,0,0,0,0,0,-2.1,0,0,0,0,0,0
0,5,0,0,0,0,0,-2.2,0,0,0,0,0,0
0,5.1,0,0,0,0,0,-2.1,0,0,0,0,0,0
0,5.2,0,0,0,0,0,-2.1,0,0,0,0,0,0
0,5.3,0,0,0,0,0,-2.1,0,0,0,0,0,0
